Date,Price,Open,High,Low,Vol.,Change %
11/30/2016,101.444,100.88,101.775,100.845,4.21K,0.59%
11/29/2016,100.854,101.2,101.59,100.85,2.27K,-0.42%
11/28/2016,101.278,101.385,101.53,100.58,4.15K,-0.17%
11/25/2016,101.451,101.75,101.865,101.155,1.47K,-0.20%
11/24/2016,101.659,101.78,102.025,101.48,1.06K,0.00%
11/23/2016,101.659,101.015,101.86,100.88,1.52K,0.64%
11/22/2016,101.016,100.74,101.275,100.635,1.26K,-0.01%
11/21/2016,101.028,101.325,101.415,100.725,1.47K,-0.17%
11/18/2016,101.198,100.985,101.46,100.815,1.64K,0.33%
11/17/2016,100.861,100.205,100.925,99.925,2.79K,0.51%
11/16/2016,100.348,100.02,100.505,99.84,1.15K,0.17%
11/15/2016,100.175,99.725,100.195,99.46,1.16K,0.12%
11/14/2016,100.055,99.04,100.175,99.04,2.92K,1.09%
11/11/2016,98.98,98.73,99.04,98.48,0.76K,0.28%
11/10/2016,98.704,98.505,99,98.24,1.65K,0.25%
11/9/2016,98.454,97.93,98.6,95.82,2.82K,0.69%
11/8/2016,97.775,97.7,97.88,97.49,0.56K,0.06%
11/7/2016,97.718,97.215,97.79,97.16,0.73K,0.72%
11/4/2016,97.018,97.165,97.3,96.865,0.69K,-0.11%
11/3/2016,97.121,97.36,97.4,97,0.51K,-0.22%
11/2/2016,97.334,97.635,97.685,97.14,0.93K,-0.28%
11/1/2016,97.607,98.325,98.355,97.53,1.37K,-0.74%
10/31/2016,98.332,98.295,98.57,98.21,0.36K,0.08%
10/28/2016,98.252,98.79,98.825,98.125,0.49K,-0.54%
10/27/2016,98.789,98.535,98.9,98.4,0.24K,0.27%
10/26/2016,98.521,98.61,98.72,98.235,0.53K,-0.07%
10/25/2016,98.592,98.63,98.98,98.5,0.64K,-0.07%
10/24/2016,98.662,98.57,98.74,98.45,0.24K,0.06%
10/21/2016,98.606,98.28,98.69,98.255,0.48K,0.39%
10/20/2016,98.224,97.79,98.295,97.57,0.48K,0.37%
10/19/2016,97.86,97.81,97.855,97.575,0.25K,0.05%
10/18/2016,97.812,97.65,97.83,97.555,0.23K,0.01%
10/17/2016,97.798,97.99,98.06,97.76,0.27K,-0.12%
10/14/2016,97.912,97.53,98.01,97.465,0.49K,0.49%
10/13/2016,97.438,97.905,98.02,97.45,0.35K,-0.45%
10/12/2016,97.882,97.495,97.955,97.4,0.37K,0.28%
10/11/2016,97.612,96.935,97.66,96.935,0.50K,0.78%
10/10/2016,96.853,96.5,96.845,96.4,0.32K,0.29%
10/7/2016,96.574,96.73,97.115,96.33,0.67K,-0.12%
10/6/2016,96.687,96.06,96.69,96.045,0.35K,0.68%
10/5/2016,96.034,96,96.21,95.865,0.22K,-0.01%
10/4/2016,96.04,95.6,96.27,95.6,0.31K,0.55%
10/3/2016,95.512,95.26,95.64,95.26,0.12K,0.21%
9/30/2016,95.31,95.41,95.8,95.21,0.28K,-0.09%
9/29/2016,95.397,95.235,95.53,95.215,0.12K,0.15%
9/28/2016,95.256,95.345,95.58,95.235,0.14K,0.03%
9/27/2016,95.232,95.235,95.485,95.065,0.21K,0.10%
9/26/2016,95.14,95.25,95.35,94.945,0.10K,-0.19%
9/23/2016,95.317,95.39,95.5,95.255,0.20K,0.00%
9/22/2016,95.316,95.285,95.385,94.885,0.35K,-0.30%
9/21/2016,95.6,95.9,96.215,95.34,0.40K,-0.32%
9/20/2016,95.911,95.695,96.06,95.5,0.30K,0.16%
9/19/2016,95.761,96.015,96.015,95.565,13.26K,-0.31%
9/16/2016,96.055,95.155,96.07,95.15,39.42K,0.88%
9/15/2016,95.213,95.285,95.485,95,20.31K,-0.04%
9/14/2016,95.252,95.47,95.585,95.12,21.07K,-0.32%
9/13/2016,95.555,95.015,95.58,94.99,8.83K,0.59%
9/12/2016,94.998,95.26,95.385,94.86,10.40K,-0.27%
9/9/2016,95.253,94.9,95.51,94.76,4.59K,0.30%
9/8/2016,94.971,94.905,95.065,94.385,4.36K,0.09%
9/7/2016,94.886,94.8,94.98,94.64,2.05K,0.13%
9/6/2016,94.763,95.7,95.79,94.715,3.61K,-1.08%
9/5/2016,95.794,95.82,95.82,95.5,0.96K,0.00%
9/2/2016,95.794,95.61,95.905,95.14,2.97K,0.19%
9/1/2016,95.61,95.95,96.175,95.555,1.03K,-0.37%
8/31/2016,95.967,95.945,96.21,95.85,1.63K,-0.03%
8/30/2016,95.996,95.495,96.08,95.48,1.12K,0.52%
